featureid	UNKNOWN	k__Archaea|p__Euryarchaeota	k__Bacteria|p__Actinobacteria	k__Bacteria|p__Bacteroidetes	k__Bacteria|p__Candidatus_Melainabacteria	k__Bacteria|p__Firmicutes	k__Bacteria|p__Fusobacteria	k__Bacteria|p__Lentisphaerae	k__Bacteria|p__Proteobacteria	k__Bacteria|p__Spirochaetes	k__Bacteria|p__Synergistetes	k__Bacteria|p__Verrucomicrobia	k__Eukaryota|p__Ascomycota	k__Eukaryota|p__Eukaryota_unclassified
methionine	0.7745692992205782	0.6703588306204153	1.052239449587638	0.7038849381733134	0.7222130011441972	0.8025052070728925	0.5470417282299815	0.11113120747593744	1.0847911797945944	0.3077015197831594	0.8848490719914821	0.745438233169375	-0.2857155831925353	-0.783628711080985
methionine sulfoxide	-1.2116298105369325	-0.1949514412250286	-0.6659540998605546	-1.0392085274464569	-0.6871947515548906	-0.9679839506743019	-0.5361418454568987	0.13659062557130877	-0.5739219747182795	-0.17605174823248593	-1.1136149355057459	-1.0825195754932495	-1.06955264156309	-0.26129984359253783
methylimidazole acetic acid	6.8602171830617	4.498153266425813	7.242224257404972	7.831000946404864	6.810869528717425	7.730628447500718	6.501553172112454	3.1155499371379274	7.036073809512371	3.6033377584769966	7.391094756938747	8.190187147148416	2.3817614777177085	4.947821728212955
metronidazole	0.1653529854801472	3.5633703647211212	1.11065221698712	-0.8697195310694383	0.6778852978029404	-0.41899719253833345	0.7078881331541147	3.9103712213657498	1.520325919179983	3.5666410099956423	0.013727902630025213	-1.1863110757625699	2.2635998184305444	-0.8710130193932053
myristate	2.33529793759948	1.0923488880700751	2.0021805298273065	2.02737242306737	1.658585114922677	2.058768065156064	1.2942500384948252	0.1177029015008422	1.9381402719847372	0.688945700558397	2.323548444544956	2.1115651010709495	1.1078377431704718	-0.49233100926530377
myristoleate	-2.375990721644867	-1.5942542367472132	-2.10951741192266	-2.3307657077379123	-2.055973368614569	-2.293221239103722	-1.9219068716307521	-1.2283665064209897	-2.0437675017349526	-1.4746048240291119	-2.3714773981767667	-2.3883997038219484	-1.845172181344933	-1.489207328471322
nervonic acid	-1.6140664263581503	-0.4003788095740486	-1.1566954779283711	-1.227990453606934	-0.8859250026146812	-1.2464981859987954	-0.5350832898032987	0.4886082740062285	-1.0889071559103078	-0.07902295707678952	-1.5569194406698479	-1.2967760726508044	-0.7300311643719701	1.0576052427191631
niacinamide	1.5937402245074277	-0.49086426712135633	0.8781346726462884	1.6374117719111456	0.8360284732794865	1.4899888645599044	0.5738006827843127	-1.2229113789833448	0.6860012253668696	-0.689037000940985	1.5669612886783515	1.7837583122897196	0.3727507102917902	0.0018541623835494625
nicotinate	-1.1239588204606865	-1.3386496494892537	-1.2971300803311052	-0.5484503515722843	-0.8177339768341261	-0.7510267306404496	-0.5097254914409863	-0.5641513774985512	-1.3954785509296923	-0.9233447023979515	-1.1216698273467856	-0.5260971274650559	-0.5519474720591595	1.7026137807047497
nicotinuric acid	2.8574396656452046	1.759788530341409	2.4885419420472727	2.3835520831513355	2.1069403801271696	2.4476034801313946	1.7123503018490576	0.7576675060009259	2.448843178208187	1.3626911089409086	2.7980647586044385	2.439457473162913	1.8754337575886348	-0.29682254156754034
nonadecanoate	-2.2997459135579352	-0.6261340519030831	-1.9948697088555514	-2.522898111333002	-1.869517706987069	-2.4251858013234426	-1.6415015916334383	0.12824448011754377	-1.8439243611733163	-0.2937998326087552	-2.416618807083621	-2.689772974752073	-0.5719711274129415	-0.9050816349803932
norepinephrine	-3.1019794056288448	-2.9108817477213123	-3.2205744017767257	-2.882510231867995	-2.905467296077256	-2.981916532914244	-2.6895700625855357	-2.299166845116861	-3.2479903386688207	-2.5715509677967043	-3.16120905706741	-2.9146646060918813	-2.252732326127093	-1.2563419092057573
oleanate	1.5025097572695496	0.12321501203394725	1.5609681617631914	2.0964043425189347	1.4685289971539897	1.985334306942201	1.3695295771978209	-0.414772882765736	1.4207145759218167	-0.2153674154399816	1.7459940504923104	2.284347066470461	-0.5772476054868192	1.1101478151382458
oleate	5.3442146541180655	2.5468600234705736	4.46233408606391	4.893403720037283	3.9808149802935127	4.8599558969108605	3.3353854025976286	0.8252600799658627	4.273977101358428	1.905242732365986	5.296194555124637	5.08026726839621	3.124270833854793	0.5776373957969603
olmesartan	-2.174852614289556	-0.45782409884319364	-1.9619391748673995	-2.9809007872956697	-2.1532702012282927	-2.745872816956292	-2.1744770284298047	-0.2517230020255645	-1.747522237718678	-0.3502126111727293	-2.386620967745495	-3.1887288280856922	-0.469773653002155	-3.036142103872509
ornithine	-3.00682920363615	-2.259179117029298	-2.8669323684069896	-2.6584891260095613	-2.501412356780844	-2.7395838319795973	-2.170213634731618	-1.3720968526513209	-2.852841295514049	-1.852107593008399	-3.021257369997638	-2.7161516860875765	-1.9435351337975866	-0.33535308687794313
orotate	-1.4418877389783522	-1.1134278845977885	-1.81459261774794	-1.914455063968041	-1.7215996504757198	-1.8928295268372985	-1.7190565160478013	-0.8738843730512798	-1.7769430993364574	-0.8556657866366955	-1.6825616323895538	-2.0239872144872266	-0.027466783135286388	-1.5649938455526944
oxalate	2.5009084703053293	1.9023257139355128	2.9374086895913383	2.955523485956985	2.6768187464282915	2.9642049632233554	2.5693797257167104	1.3359071790761778	2.895742421026269	1.4580404313258306	2.784507049622415	3.0965214013733697	0.46497974708296974	1.7375793904715784
oxymetazoline	-1.8094637521689028	-1.5243351960448086	-2.160397109817371	-2.1579829119695573	-2.013160460928998	-2.16399931583983	-1.9679121869380787	-1.2007307170515922	-2.1378900409026076	-1.236512090476218	-2.0247621389719033	-2.2545694743835782	-0.4540105599504236	-1.5324794340457282
oxypurinol	-0.6185896892503995	-0.7345469378876812	-0.18940312455607056	-0.36375649838365764	-0.4252302427373431	-0.31486277418225816	-0.4983773468106858	-1.1180764304963773	-0.1812628203928719	-1.0669797242393386	-0.4168393093002507	-0.2877671217798796	-1.9553870491193677	-1.2557473955138954
p-hydroxyphenylacetate	-0.7485266303294247	0.34058237912037503	-0.47900893472269024	-0.6509035596999591	-0.2898067910668467	-0.6360797643975623	-0.04502209882869557	1.0326144156332957	-0.40250088839116427	0.6276282759049296	-0.7768369041018222	-0.7415483522286892	0.3208042930305859	1.0173416593959899
