	feature_id	axis	embed_type	values
126	C30:0 DAG	0	metabolite	1.9400933980941772
127	C30:0 PC	0	metabolite	1.9540772438049316
128	C32:0 DAG	0	metabolite	1.1265895366668701
129	C32:0 PC	0	metabolite	0.5601626634597778
130	C32:0 PE	0	metabolite	2.649754524230957
131	C32:1 DAG	0	metabolite	2.00490665435791
132	C32:1 PC	0	metabolite	0.8189995288848877
133	C32:2 DAG	0	metabolite	1.3822449445724487
134	C34:0 DAG	0	metabolite	1.4433910846710205
135	C34:0 PC	0	metabolite	1.1154354810714722
136	C34:0 PE	0	metabolite	1.6317415237426758
137	C34:1 DAG	0	metabolite	1.1925138235092163
138	C34:1 PC	0	metabolite	-0.019924381747841835
139	C34:1 PC plasmalogen	0	metabolite	1.6185338497161865
140	C34:2 DAG	0	metabolite	1.7635279893875122
141	C34:2 PC	0	metabolite	1.3711413145065308
142	C34:2 PC plasmalogen	0	metabolite	1.6716868877410889
143	C34:3 DAG	0	metabolite	0.4477281868457794
144	C34:3 PC	0	metabolite	1.3087291717529297
145	C34:4 PC plasmalogen	0	metabolite	1.9126389026641846
146	C36:0 DAG	0	metabolite	1.1507976055145264
147	C36:1 DAG	0	metabolite	1.4823392629623413
148	C36:1 PC	0	metabolite	1.173362135887146
149	C36:1 PC plasmalogen	0	metabolite	0.7841778993606567
150	C36:2 DAG	0	metabolite	0.007727471180260181
151	C36:2 PC	0	metabolite	1.3921805620193481
152	C36:2 PC plasmalogen	0	metabolite	0.44360166788101196
153	C36:3 DAG	0	metabolite	1.1612186431884766
154	C36:3 PC	0	metabolite	1.192570686340332
155	C36:4 DAG	0	metabolite	-0.9505001306533813
156	C36:4 PC plasmalogen	0	metabolite	0.5603461861610413
157	C36:4 PC-A	0	metabolite	1.4723788499832153
158	C36:4 PC-B	0	metabolite	0.9781749248504639
159	C36:5 PC plasmalogen	0	metabolite	1.0020524263381958
160	C38:2 PC	0	metabolite	0.698798418045044
161	C38:3 PC	0	metabolite	1.6763821840286255
162	C38:4 PC	0	metabolite	1.8946573734283447
163	C38:4 PC plasmalogen	0	metabolite	1.847350835800171
164	C38:5 DAG	0	metabolite	0.4533817768096924
165	C38:6 PC	0	metabolite	2.1013076305389404
166	C4 carnitine	0	metabolite	-0.7836331725120544
167	C42:0 TAG	0	metabolite	0.40837982296943665
168	C44:0 TAG	0	metabolite	0.8679468631744385
169	C44:1 TAG	0	metabolite	0.9894499182701111
170	C44:2 TAG	0	metabolite	2.2265660762786865
171	C45:0 TAG	0	metabolite	3.6476821899414062
172	C46:0 TAG	0	metabolite	1.7640212774276733
173	C46:1 TAG	0	metabolite	1.7062034606933594
174	C46:2 TAG	0	metabolite	1.9293493032455444
175	C46:3 TAG	0	metabolite	1.6872937679290771
176	C48:0 TAG	0	metabolite	-0.20824700593948364
177	C48:1 TAG	0	metabolite	1.9559376239776611
178	C48:2 TAG	0	metabolite	1.0792969465255737
179	C48:3 TAG	0	metabolite	1.6461082696914673
180	C48:4 TAG	0	metabolite	3.3798699378967285
181	C5 carnitine	0	metabolite	2.0480096340179443
182	C50:0 TAG	0	metabolite	1.6277376413345337
183	C50:1 TAG	0	metabolite	-0.09746633470058441
184	C50:2 TAG	0	metabolite	0.763564944267273
