featureid	UNKNOWN	p__Euryarchaeota|c__Methanobacteria	p__Euryarchaeota|c__Thermoplasmata	p__Actinobacteria|c__Actinobacteria	p__Actinobacteria|c__Coriobacteriia	p__Bacteroidetes|c__Bacteroidia	p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	p__Firmicutes|c__Bacilli	p__Firmicutes|c__Clostridia	p__Firmicutes|c__Erysipelotrichia	p__Firmicutes|c__Firmicutes_unclassified	p__Firmicutes|c__Negativicutes	p__Firmicutes|c__Tissierellia	p__Fusobacteria|c__Fusobacteriia	p__Lentisphaerae|c__Lentisphaeria	p__Proteobacteria|c__Betaproteobacteria	p__Proteobacteria|c__Deltaproteobacteria	p__Proteobacteria|c__Epsilonproteobacteria	p__Proteobacteria|c__Gammaproteobacteria	p__Proteobacteria|c__Proteobacteria_unclassified	p__Spirochaetes|c__Spirochaetia	p__Synergistetes|c__Synergistia	p__Verrucomicrobia|c__Verrucomicrobiae	p__Ascomycota|c__Saccharomycetes	p__Eukaryota_unclassified|c__Eukaryota_unclassified
C38:2 PC	-2.2854355195036726	-2.5365899887753836	-1.1079662138773585	-2.7197680112833487	-2.424803228586524	-2.535222682727634	-2.8552539578228457	-2.818699132052842	-2.6280777877699153	-2.5467640783039114	-2.557231077836786	-2.5320912141849163	-2.388122690991538	-0.8106861260456482	-3.5104520748991694	-2.646844441597492	-2.849159713181767	-0.831605490118942	-2.7461548303632437	-2.5156373791507445	-2.2892876017745687	-2.2229572477047004	-2.567417150713689	-3.790961762500579	-1.583093924007903
C38:3 PC	-2.867636160046557	-3.3876543903321696	-2.1968951970405186	-3.1699753565341173	-3.030357900209008	-3.180549069207503	-3.578143709823912	-3.050215480052665	-3.0213509928590208	-2.8397883722733583	-2.8997811162895526	-3.02425306281782	-2.774433666044561	-1.6750479819234068	-4.228858992922963	-3.3366044854058186	-3.204315274633939	-1.5885084880863674	-2.853630492904106	-3.078878423203081	-3.3449686115417565	-2.6666705958842023	-3.014383036981442	-4.732671026742386	-2.4117736202377618
C38:4 PC	-1.8876679245102577	-2.1761277472283824	-1.309393723937063	-2.1532063333585816	-1.9995537680723867	-2.068742986576048	-2.332707754717965	-2.1731945103886563	-2.071889077763233	-2.0053173751289606	-2.015311062026669	-2.0398003907177378	-1.9107195827643029	-1.0151863942065829	-2.7725059758816624	-2.155235799003169	-2.192543230461111	-1.0228401794482447	-2.097534838429051	-2.0449535939913384	-2.078692514043209	-1.8179133841065411	-2.0428671402396	-3.0811719023598765	-1.5247051545610786
C38:4 PC plasmalogen	-1.9702540879661066	-1.2533215264048663	-0.4434138320764942	-1.9079910385488106	-1.7963837865028047	-2.054104404943816	-1.7118597345357869	-1.7826265519061222	-1.962470230518952	-1.7588277406871642	-1.9054723552998039	-1.8432953086389343	-1.942779541458397	-0.9729873200963484	-1.8522612522607753	-2.091629078217322	-2.321882066701513	-0.6166103409067651	-1.6532401879314786	-1.9121382298387424	-0.9697350018936817	-1.8721151237859726	-1.9923333650647232	-0.917162932531514	-1.1274255186774198
C38:5 DAG	-0.9306165216075137	-1.056334187388891	-0.6897663955301458	-1.1451460266008955	-1.0045554722904058	-0.9528126241329158	-1.1070831964405756	-1.3214211063748076	-1.1309598503574732	-1.2133839914473086	-1.1526805518026877	-1.081827714745211	-1.073720979453733	-0.5805045898231507	-1.2815488983113852	-0.9578698064302499	-1.1335419356296237	-0.7281264449842868	-1.3894929584811582	-1.0290029498943056	-0.9486928673946173	-1.0130659093085104	-1.0783741496752266	-1.4898965841867304	-0.8000324202611928
C38:6 PC	-2.8597199985397475	-2.1901932185508866	0.5186237098012116	-3.081181863359873	-2.738996274043494	-3.362214247764717	-3.1915727298564422	-2.706471645037193	-3.009803292222812	-2.4332073283621893	-2.7643161177270987	-2.809611377761689	-2.68411834996611	0.18856023569110203	-4.149610749108674	-3.5993273112904984	-3.8299602800808197	0.9113653248906233	-2.2624234069764793	-2.9848868958232906	-1.6575194138631373	-2.4412615642045647	-3.0564700775729245	-3.084973459067107	-0.8941497126869535
C4 carnitine	3.6703703399522785	2.076180351596493	-0.09078119068960125	4.228724547280209	3.4628313049533315	3.6345695782009493	3.106088613548703	4.885459257911124	4.451718579162374	4.544721411998141	4.533622629560645	3.948192173959317	4.346082383803356	1.1232720122817474	3.494300867972662	3.553721356898937	5.023775781984274	1.1420608253592885	5.167800082878899	3.7525680817212423	0.9787383339560753	4.008818261073303	4.271866204236221	1.8541416660409917	1.6860015725275912
C42:0 TAG	0.1320299441002475	0.6502766907291766	0.17225123224055247	0.30852083075033104	0.27536530322937114	0.3150578654974172	0.633784375287409	0.22202863244506021	0.19808308006953634	0.10980129036963326	0.12386463898311506	0.2434014748626866	0.04042112746530524	-0.3052745992345436	0.9853221571160775	0.4045207442514597	0.21154964858111125	-0.29031889421359347	0.11876810605037302	0.2647990531772635	0.7235431907951346	-0.0007427129242838504	0.19514929159712635	1.5421942303228742	0.09439747710050916
C44:0 TAG	-0.12617846857301496	-0.2441586952883783	0.04328675738507057	-0.23323326639745218	-0.17189558453306128	-0.17758827323436854	-0.2878527910269959	-0.2701395940525817	-0.20639191340783913	-0.20780381819006033	-0.19715249702838156	-0.19290334425474132	-0.15803202176746733	0.15266270153115702	-0.43824836922164057	-0.20350955458116238	-0.2365005153016826	0.12256224928434944	-0.25872875046887256	-0.1884435641837161	-0.20723651891249073	-0.12530769554727428	-0.19021547844428655	-0.576237736433002	-0.021720305249507632
C44:1 TAG	-1.657056673471628	-0.5906656256565237	-0.1215563776601172	-1.5261895848198688	-1.4007251026165477	-1.5914065071919463	-1.0465532374580895	-1.5376960204420937	-1.6661415824536947	-1.5716680990625393	-1.6784259183775112	-1.4993984605649437	-1.7507835717504596	-0.977357475297632	-0.9356488644037322	-1.5500440209027322	-1.9848323059286352	-0.6857631453117432	-1.5325565258074167	-1.5211473389200378	-0.22659069990781866	-1.6968085836921585	-1.6775899680798498	0.3335472590044066	-0.8584841642471037
C44:2 TAG	-2.7757317119150877	-1.1387832507687181	0.2288295112150822	-2.6890596798142883	-2.4023111328183617	-2.8086282272740615	-2.0250408807190197	-2.6487020063224938	-2.867038601048711	-2.6090633048960177	-2.827287751757997	-2.5746600902575505	-2.889912014617214	-1.0293837984046137	-2.12647282308781	-2.805401097516065	-3.505348783459575	-0.4801333502548082	-2.554254478697791	-2.6312136138588933	-0.47795136831445006	-2.7427968085692296	-2.8828951477135827	-0.13112355687686916	-1.1612402862295497
C45:0 TAG	-3.7575079801654376	-3.2729525079223407	-1.3762235442694644	-4.094755135289637	-3.7167974288528463	-4.011929004392757	-3.9519669702571316	-4.130619074402289	-4.08438299101445	-3.8728794992565314	-3.9917741076524966	-3.8770933408220554	-3.8709900556081154	-1.6484553898087784	-4.595334609575107	-4.118575359369124	-4.572940877661886	-1.3983004202502314	-4.002983547865908	-3.897172757296321	-2.773824844591293	-3.6604609338707146	-4.044375454395662	-3.966796852510116	-2.409494681838339
C46:0 TAG	-0.38677299534297527	-0.38687290143825437	0.06160085475083063	-0.5159900061428317	-0.41207436395203	-0.4448724038779073	-0.5098367306703184	-0.5717091863630088	-0.5018391029670566	-0.491238082140657	-0.4911204744515616	-0.457728565678602	-0.4454167848072439	0.08344190006257168	-0.6916373506405753	-0.4709332825014064	-0.5838890961101209	0.07860417595917513	-0.5621960745637634	-0.44981410391925536	-0.2811697651095093	-0.3920342265427177	-0.47984794434769584	-0.6941144989420991	-0.13172176218725085
C46:1 TAG	-1.476790148498781	-0.9761491583002349	-0.15013764511483688	-1.5526074105822858	-1.3818870637599936	-1.5487311360164302	-1.361054088806124	-1.5643275620403578	-1.59095403650048	-1.4843786557508958	-1.5613589989141219	-1.466925700601509	-1.5435218183730735	-0.5115329092534777	-1.5592403337296465	-1.576175512038843	-1.8676292407529411	-0.3259936985065752	-1.5117271571852253	-1.4848526211718074	-0.6881902968100766	-1.452988580796605	-1.5819271514940705	-0.9403242161021135	-0.7475014644019318
C46:2 TAG	-2.391379517358551	0.6271384578227852	1.3193450356935439	-1.8477967096819279	-1.6330654125595352	-2.12102645622638	-0.4871485934196609	-1.812254664996959	-2.265530475306505	-2.018326504331438	-2.316842800262178	-1.8530256594838534	-2.5809579210840026	-1.1324001117480176	0.0855793164187606	-1.9638861220042725	-3.045586578166982	-0.3124193111825959	-1.8206200062530593	-1.9190232333089403	1.5136635254685284	-2.5009961161113843	-2.325550012510161	3.673718170038011	-0.4930014446216915
